date,ot_book,ot_chapter,nt_book,nt_chapter,psalm_book,psalm_chapter
2025-05-17,,,1 Corinthians,4,,
2025-05-17,,,,,Psalm,60
2025-05-18,2 Samuel,8,,,,
2025-05-18,2 Samuel,9,,,,
2025-05-18,,,1 Corinthians,5,,
2025-05-18,,,,,Psalm,132
2025-05-19,2 Samuel,10,,,,
2025-05-19,2 Samuel,11,,,,
2025-05-19,,,1 Corinthians,6,,
2025-05-19,,,,,Psalm,89
2025-05-19,,,,,"51,",32
2025-05-20,2 Samuel,12,,,,
2025-05-20,2 Samuel,13,,,,
2025-05-20,,,1 Corinthians,7,,
2025-05-20,,,,,"Psalm 51,",32
2025-05-21,2 Samuel,14,,,,
2025-05-21,2 Samuel,15,,,,
2025-05-21,,,1 Corinthians,8,,
2025-05-21,,,,,"Psalm 3,",63
2025-05-22,2 Samuel,16,,,,
2025-05-22,2 Samuel,17,,,,
2025-05-22,,,1 Corinthians,9,,
2025-05-22,,,,,"Psalm 3,",63
2025-05-23,2 Samuel,18,,,,
2025-05-23,2 Samuel,19,,,,
2025-05-23,,,1 Corinthians,10,,
2025-05-23,,,,,Psalm,34
2025-05-24,2 Samuel,20,,,,
2025-05-24,2 Samuel,21,,,,
2025-05-24,,,1 Corinthians,11,,
2025-05-24,,,,,Psalm,34
2025-05-25,2 Samuel,22,,,,
2025-05-25,2 Samuel,23,,,,
2025-05-25,,,1 Corinthians,12,,
2025-05-25,,,,,Psalm,18
2025-05-26,2 Samuel,24,,,,
2025-05-26,1 Kings,1,,,,
2025-05-26,,,1 Corinthians,13,,
2025-05-27,1 Kings,2,,,,
2025-05-27,1 Kings,3,,,,
2025-05-27,,,1 Corinthians,14,,
2025-05-27,,,,,Psalm,42
2025-05-28,1 Kings,4,,,,
2025-05-28,1 Kings,5,,,,
2025-05-28,,,1 Corinthians,15,,
2025-05-28,,,,,Psalm,43
2025-05-29,1 Kings,6,,,,
2025-05-29,1 Kings,7,,,,
2025-05-29,,,1 Corinthians,16,,
2025-05-29,,,,,Psalm,44
2025-05-30,1 Kings,8,,,,
2025-05-30,1 Kings,9,,,,
2025-05-30,,,2 Corinthians,1,,
2025-05-30,,,,,Psalm,30
2025-05-31,1 Kings,10,,,,
2025-05-31,1 Kings,11,,,,
2025-05-31,,,2 Corinthians,2,,
2025-06-01,1 Kings,12,,,,
2025-06-01,1 Kings,13,,,,
2025-06-01,,,2 Corinthians,3,,
2025-06-01,,,,,Psalm,47
2025-06-02,1 Kings,14,,,,
2025-06-02,1 Kings,15,,,,
2025-06-02,,,2 Corinthians,4,,
2025-06-02,,,,,Psalm,47
2025-06-03,1 Kings,16,,,,
2025-06-03,1 Kings,17,,,,
2025-06-03,,,2 Corinthians,5,,
2025-06-03,,,,,Psalm,119
2025-06-04,1 Kings,18,,,,
2025-06-04,1 Kings,19,,,,
2025-06-04,,,2 Corinthians,6,,
2025-06-04,,,,,Psalm,119
2025-06-05,1 Kings,20,,,,
2025-06-05,1 Kings,21,,,,
2025-06-05,,,2 Corinthians,7,,
2025-06-05,,,,,Psalm,129
2025-06-06,1 Kings,22,,,,
2025-06-06,2 Kings,1,,,,
2025-06-06,,,2 Corinthians,8,,
2025-06-06,,,,,Psalm,20
2025-06-07,2 Kings,2,,,,
2025-06-07,2 Kings,3,,,,
2025-06-07,,,2 Corinthians,9,,
2025-06-07,,,,,Psalm,48
2025-06-08,2 Kings,4,,,,
2025-06-08,2 Kings,5,,,,
2025-06-08,,,2 Corinthians,10,,
2025-06-09,2 Kings,6,,,,
2025-06-09,2 Kings,7,,,,
2025-06-09,,,2 Corinthians,11,,
2025-06-10,2 Kings,8,,,,
2025-06-10,2 Kings,9,,,,
2025-06-10,,,2 Corinthians,12,,
2025-06-10,,,,,Psalm,49
2025-06-11,2 Kings,10,,,,
2025-06-11,2 Kings,11,,,,
2025-06-11,,,2 Corinthians,13,,
2025-06-11,,,,,Psalm,49
2025-06-12,2 Kings,12,,,,
2025-06-12,2 Kings,13,,,,
2025-06-12,,,Galatians,1,,
2025-06-12,,,,,Psalm,50
2025-06-13,2 Kings,14,,,,
2025-06-13,2 Kings,15,,,,
2025-06-13,,,Galatians,2,,
2025-06-13,,,,,Psalm,53
2025-06-14,2 Kings,16,,,,
2025-06-14,2 Kings,17,,,,
2025-06-14,,,Galatians,3,,
2025-06-14,,,,,Psalm,66
2025-06-15,2 Kings,18,,,,
2025-06-15,2 Kings,19,,,,
2025-06-15,,,Galatians,4,,
2025-06-15,,,,,Psalm,67
2025-06-16,2 Kings,20,,,,
2025-06-16,2 Kings,21,,,,
2025-06-16,,,Galatians,5,,
2025-06-16,,,,,Psalm,68
2025-06-17,2 Kings,22,,,,
2025-06-17,2 Kings,23,,,,
2025-06-17,,,Galatians,6,,
2025-06-17,,,,,Psalm,73
2025-06-18,2 Kings,24,,,,
2025-06-18,2 Kings,25,,,,
2025-06-18,,,Ephesians,1,,
2025-06-18,,,,,Psalm,126
2025-06-19,1 Chronicles,1,,,,
2025-06-19,1 Chronicles,2,,,,
2025-06-19,,,Ephesians,2,,
2025-06-19,,,,,Psalm,39
2025-06-20,1 Chronicles,3,,,,
2025-06-20,1 Chronicles,4,,,,
2025-06-20,,,Ephesians,3,,
2025-06-20,,,,,Psalm,59
2025-06-20,,,,,"56, 57,",142
2025-06-21,1 Chronicles,5,,,,
2025-06-21,1 Chronicles,6,,,,
2025-06-21,,,Ephesians,4,,
2025-06-21,,,,,Psalm,52
2025-06-22,1 Chronicles,7,,,,
2025-06-22,1 Chronicles,8,,,,
2025-06-22,,,Ephesians,5,,
2025-06-23,1 Chronicles,9,,,,
2025-06-23,1 Chronicles,10,,,,
2025-06-23,,,Ephesians,6,,
2025-06-24,1 Chronicles,11,,,,
2025-06-24,1 Chronicles,12,,,,
2025-06-24,,,Philippians,1,,
2025-06-24,,,,,Psalm,96
2025-06-24,,,,,"106,",122
2025-06-25,1 Chronicles,13,,,,
2025-06-25,1 Chronicles,14,,,,
2025-06-25,,,Philippians,2,,
2025-06-25,,,,,Psalm,60
2025-06-26,1 Chronicles,15,,,,
2025-06-26,1 Chronicles,16,,,,
2025-06-26,,,Philippians,3,,
2025-06-27,1 Chronicles,17,,,,
2025-06-27,1 Chronicles,18,,,,
2025-06-27,,,Philippians,4,,
2025-06-27,,,,,Psalm,132
2025-06-28,1 Chronicles,19,,,,
2025-06-28,1 Chronicles,20,,,,
2025-06-28,,,Colossians,1,,
2025-06-28,,,,,"Psalm 51,",32
2025-06-29,1 Chronicles,21,,,,
2025-06-29,1 Chronicles,22,,,,
2025-06-29,,,Colossians,2,,
2025-06-29,,,,,Psalm,78
2025-06-30,1 Chronicles,23,,,,
2025-06-30,1 Chronicles,24,,,,
2025-06-30,,,Colossians,3,,
2025-06-30,,,,,Psalm,78
2025-07-01,1 Chronicles,25,,,,
2025-07-01,1 Chronicles,26,,,,
2025-07-01,,,Colossians,4,,
2025-07-01,,,,,Psalm,78
2025-07-02,1 Chronicles,27,,,,
2025-07-02,1 Chronicles,28,,,,
2025-07-02,,,1 Thessalonians,1,,
2025-07-03,1 Chronicles,29,,,,
2025-07-03,2 Chronicles,1,,,,
2025-07-03,,,1 Thessalonians,2,,
2025-07-03,,,,,Psalm,42
2025-07-04,2 Chronicles,2,,,,
2025-07-04,2 Chronicles,3,,,,
2025-07-04,,,1 Thessalonians,3,,
2025-07-05,2 Chronicles,4,,,,
2025-07-05,2 Chronicles,5,,,,
2025-07-05,,,1 Thessalonians,4,,
2025-07-05,,,,,Psalm,44
2025-07-06,2 Chronicles,6,,,,
2025-07-06,2 Chronicles,7,,,,
2025-07-06,,,1 Thessalonians,5,,
2025-07-06,,,,,Psalm,121
2025-07-07,2 Chronicles,8,,,,
2025-07-07,2 Chronicles,9,,,,
2025-07-07,,,2 Thessalonians,1,,
2025-07-08,2 Chronicles,10,,,,
2025-07-08,2 Chronicles,11,,,,
2025-07-08,,,2 Thessalonians,2,,
2025-07-09,2 Chronicles,12,,,,
2025-07-09,2 Chronicles,13,,,,
2025-07-09,,,2 Thessalonians,3,,
2025-07-09,,,,,Psalm,47
2025-07-10,2 Chronicles,14,,,,
2025-07-10,2 Chronicles,15,,,,
2025-07-10,,,1 Timothy,1,,
2025-07-11,2 Chronicles,16,,,,
2025-07-11,2 Chronicles,17,,,,
2025-07-11,,,1 Timothy,2,,
2025-07-11,,,,,Psalm,129
2025-07-12,2 Chronicles,18,,,,
2025-07-12,2 Chronicles,19,,,,
2025-07-12,,,1 Timothy,3,,
2025-07-12,,,,,Psalm,20
2025-07-13,2 Chronicles,20,,,,
2025-07-13,2 Chronicles,21,,,,
2025-07-13,,,1 Timothy,4,,
2025-07-13,,,,,Psalm,20
2025-07-14,2 Chronicles,22,,,,
2025-07-14,2 Chronicles,23,,,,
2025-07-14,,,1 Timothy,5,,
2025-07-14,,,,,Psalm,131
2025-07-15,2 Chronicles,24,,,,
2025-07-15,2 Chronicles,25,,,,
2025-07-15,,,1 Timothy,6,,
2025-07-15,,,,,Psalm,50
2025-07-16,2 Chronicles,26,,,,
2025-07-16,2 Chronicles,27,,,,
2025-07-16,,,2 Timothy,1,,
2025-07-16,,,,,Psalm,61
2025-07-17,2 Chronicles,28,,,,
2025-07-17,2 Chronicles,29,,,,
2025-07-17,,,2 Timothy,2,,
2025-07-17,,,,,Psalm,66
2025-07-18,2 Chronicles,30,,,,
2025-07-18,2 Chronicles,31,,,,
2025-07-18,,,2 Timothy,3,,
2025-07-19,2 Chronicles,32,,,,
2025-07-19,2 Chronicles,33,,,,
2025-07-19,,,2 Timothy,4,,
2025-07-19,,,,,Psalm,67
2025-07-20,2 Chronicles,34,,,,
2025-07-20,2 Chronicles,35,,,,
2025-07-20,,,Titus,1,,
2025-07-21,2 Chronicles,36,,,,
2025-07-21,Ezra,1,,,,
2025-07-21,,,Titus,2,,
2025-07-21,,,,,Psalm,126
2025-07-22,Ezra,2,,,,
2025-07-22,Ezra,3,,,,
2025-07-22,,,Titus,3,,
